Date,TxType,Value
2020-11-13,RTGS-Vol,6.5
2020-11-14,RTGS-Vol,
2020-11-15,RTGS-Vol,
2020-11-16,RTGS-Vol,3.06
2020-11-17,RTGS-Vol,5.75
2020-11-18,RTGS-Vol,5.66
2020-11-19,RTGS-Vol,5.76
2020-11-20,RTGS-Vol,5.67
2020-11-21,RTGS-Vol,4.47
2020-11-22,RTGS-Vol,
2020-11-23,RTGS-Vol,6.58
2020-11-24,RTGS-Vol,6.36
2020-11-25,RTGS-Vol,5.91
2020-11-26,RTGS-Vol,4.46
2020-11-27,RTGS-Vol,7.89
2020-11-28,RTGS-Vol,
2020-11-29,RTGS-Vol,
2020-11-30,RTGS-Vol,3.54
2020-12-01,RTGS-Vol,7.56
2020-12-02,RTGS-Vol,6.76
2020-12-03,RTGS-Vol,5.99
2020-12-04,RTGS-Vol,6.35
2020-12-05,RTGS-Vol,5.13
2020-12-06,RTGS-Vol,
2020-12-07,RTGS-Vol,6.59
2020-12-08,RTGS-Vol,5.25
2020-12-09,RTGS-Vol,5.97
2020-12-10,RTGS-Vol,5.86
2020-12-11,RTGS-Vol,6.46
2020-12-12,RTGS-Vol,0.0
2020-12-13,RTGS-Vol,
2020-12-14,RTGS-Vol,8.37
2020-12-15,RTGS-Vol,7.12
2020-12-16,RTGS-Vol,6.48
2020-12-17,RTGS-Vol,6.3
2020-12-18,RTGS-Vol,6.4
2020-12-19,RTGS-Vol,5.28
2020-12-20,RTGS-Vol,0.16
2020-12-21,RTGS-Vol,7.0
2020-12-22,RTGS-Vol,6.63
2020-12-23,RTGS-Vol,6.69
2020-12-24,RTGS-Vol,7.87
2020-12-25,RTGS-Vol,0.54
2020-12-26,RTGS-Vol,0.51
2020-12-27,RTGS-Vol,0.16
2020-12-28,RTGS-Vol,9.56
2020-12-29,RTGS-Vol,7.71
2020-12-30,RTGS-Vol,7.51
2020-12-31,RTGS-Vol,7.29
2021-01-01,RTGS-Vol,4.5
2021-01-02,RTGS-Vol,4.96
2021-01-03,RTGS-Vol,0.21
2021-01-04,RTGS-Vol,7.0
2021-01-05,RTGS-Vol,6.57
2021-01-06,RTGS-Vol,6.32
2021-01-07,RTGS-Vol,6.54
2021-01-08,RTGS-Vol,7.18
2021-01-09,RTGS-Vol,0.72
2021-01-10,RTGS-Vol,0.19
2021-01-11,RTGS-Vol,8.66
2021-01-12,RTGS-Vol,7.14
2021-01-13,RTGS-Vol,7.0
2021-01-14,RTGS-Vol,4.35
2021-01-15,RTGS-Vol,5.7
2021-01-16,RTGS-Vol,4.65
2021-01-17,RTGS-Vol,0.21
2021-01-18,RTGS-Vol,7.18
2021-01-19,RTGS-Vol,6.79
2021-01-20,RTGS-Vol,6.67
2021-01-21,RTGS-Vol,6.56
2021-01-22,RTGS-Vol,7.3
2021-01-23,RTGS-Vol,0.73
2021-01-24,RTGS-Vol,0.19
2021-01-25,RTGS-Vol,8.67
2021-01-26,RTGS-Vol,0.39
2021-01-27,RTGS-Vol,8.37
2021-01-28,RTGS-Vol,7.2
2021-01-29,RTGS-Vol,7.78
2021-01-30,RTGS-Vol,6.59
2021-01-31,RTGS-Vol,0.34
2021-02-01,RTGS-Vol,7.09
2021-02-02,RTGS-Vol,6.77
2021-02-03,RTGS-Vol,6.54
2021-02-04,RTGS-Vol,6.5
2021-02-05,RTGS-Vol,6.77
2021-02-06,RTGS-Vol,5.48
