Date,TxType,Value
2021-08-08,AePS-Val,9.76
2021-08-09,AePS-Val,14.86
2021-08-10,AePS-Val,18.99
2021-08-11,AePS-Val,19.51
2021-08-12,AePS-Val,18.04
2021-08-13,AePS-Val,18.03
2021-08-14,AePS-Val,18.17
2021-08-15,AePS-Val,10.85
2021-08-16,AePS-Val,17.72
2021-08-17,AePS-Val,19.13
2021-08-18,AePS-Val,16.69
2021-08-19,AePS-Val,19.36
2021-08-20,AePS-Val,20.62
2021-08-21,AePS-Val,22.04
2021-08-22,AePS-Val,13.04
2021-08-23,AePS-Val,17.17
2021-08-24,AePS-Val,17.9
2021-08-25,AePS-Val,18.32
2021-08-26,AePS-Val,18.56
2021-08-27,AePS-Val,19.96
2021-08-28,AePS-Val,20.73
2021-08-29,AePS-Val,14.86
2021-08-30,AePS-Val,20.84
2021-08-31,AePS-Val,21.03
2021-09-01,AePS-Val,18.44
2021-09-02,AePS-Val,16.0
2021-09-03,AePS-Val,15.39
2021-09-04,AePS-Val,14.08
2021-09-05,AePS-Val,10.74
2021-09-06,AePS-Val,14.11
2021-09-07,AePS-Val,14.61
2021-09-08,AePS-Val,14.27
2021-09-09,AePS-Val,15.72
2021-09-10,AePS-Val,15.03
2021-09-11,AePS-Val,15.53
2021-09-12,AePS-Val,11.45
2021-09-13,AePS-Val,16.41
2021-09-14,AePS-Val,16.5
2021-09-15,AePS-Val,16.64
2021-09-16,AePS-Val,15.96
2021-09-17,AePS-Val,17.01
2021-09-18,AePS-Val,16.16
2021-09-19,AePS-Val,13.21
2021-09-20,AePS-Val,17.87
2021-09-21,AePS-Val,17.1
2021-09-22,AePS-Val,18.18
2021-09-23,AePS-Val,19.02
2021-09-24,AePS-Val,19.31
2021-09-25,AePS-Val,18.54
2021-09-26,AePS-Val,13.88
2021-09-27,AePS-Val,20.39
2021-09-28,AePS-Val,22.12
2021-09-29,AePS-Val,21.4
2021-09-30,AePS-Val,22.6
2021-10-01,AePS-Val,20.74
2021-10-02,AePS-Val,20.03
2021-10-03,AePS-Val,13.15
2021-10-04,AePS-Val,19.3
2021-10-05,AePS-Val,18.29
2021-10-06,AePS-Val,17.57
2021-10-07,AePS-Val,18.66
2021-10-08,AePS-Val,18.22
2021-10-09,AePS-Val,19.24
2021-10-10,AePS-Val,14.48
2021-10-11,AePS-Val,20.16
2021-10-12,AePS-Val,21.31
2021-10-13,AePS-Val,20.52
2021-10-14,AePS-Val,18.9
2021-10-15,AePS-Val,15.94
2021-10-16,AePS-Val,15.64
2021-10-17,AePS-Val,13.15
2021-10-18,AePS-Val,18.87
2021-10-19,AePS-Val,19.13
2021-10-20,AePS-Val,18.64
2021-10-21,AePS-Val,20.45
2021-10-22,AePS-Val,21.03
2021-10-23,AePS-Val,20.27
2021-10-24,AePS-Val,15.77
2021-10-25,AePS-Val,17.49
2021-10-26,AePS-Val,23.18
2021-10-27,AePS-Val,23.7
2021-10-28,AePS-Val,24.31
2021-10-29,AePS-Val,26.33
2021-10-30,AePS-Val,29.09
2021-10-31,AePS-Val,24.74
2021-11-01,AePS-Val,26.3
2021-11-02,AePS-Val,23.24
2021-11-03,AePS-Val,25.65
2021-11-04,AePS-Val,19.56
2021-11-05,AePS-Val,13.37
2021-11-06,AePS-Val,16.29
2021-11-07,AePS-Val,13.13
2021-11-08,AePS-Val,17.74
2021-11-09,AePS-Val,16.73
2021-11-10,AePS-Val,15.1
2021-11-11,AePS-Val,14.59
2021-11-12,AePS-Val,16.77
2021-11-13,AePS-Val,18.66
2021-11-14,AePS-Val,14.27
2021-11-15,AePS-Val,18.64
2021-11-16,AePS-Val,20.6
2021-11-17,AePS-Val,19.43
2021-11-18,AePS-Val,19.93
2021-11-19,AePS-Val,19.97
2021-11-20,AePS-Val,19.0
2021-11-21,AePS-Val,16.47
2021-11-22,AePS-Val,18.82
2021-11-23,AePS-Val,21.05
2021-11-24,AePS-Val,19.91
2021-11-25,AePS-Val,21.37
2021-11-26,AePS-Val,20.68
2021-11-27,AePS-Val,21.0
2021-11-28,AePS-Val,17.83
2021-11-29,AePS-Val,21.95
2021-11-30,AePS-Val,23.49
2021-12-01,AePS-Val,19.92
2021-12-02,AePS-Val,18.33
2021-12-03,AePS-Val,18.44
2021-12-04,AePS-Val,17.81
2021-12-05,AePS-Val,13.13
2021-12-06,AePS-Val,16.83
2021-12-07,AePS-Val,18.05
2021-12-08,AePS-Val,16.68
2021-12-09,AePS-Val,17.73
2021-12-10,AePS-Val,19.24
2021-12-11,AePS-Val,19.54
2021-12-12,AePS-Val,13.0
2021-12-13,AePS-Val,14.74
2021-12-14,AePS-Val,20.36
2021-12-15,AePS-Val,19.98
2021-12-16,AePS-Val,22.93
2021-12-17,AePS-Val,24.6
2021-12-18,AePS-Val,21.79
2021-12-19,AePS-Val,17.41
2021-12-20,AePS-Val,23.23
2021-12-21,AePS-Val,24.01
2021-12-22,AePS-Val,23.97
2021-12-23,AePS-Val,24.29
2021-12-24,AePS-Val,25.26
2021-12-25,AePS-Val,25.67
2021-12-26,AePS-Val,18.82
2021-12-27,AePS-Val,25.15
2021-12-28,AePS-Val,24.74
2021-12-29,AePS-Val,24.4
2021-12-30,AePS-Val,27.51
2021-12-31,AePS-Val,29.93
2022-01-01,AePS-Val,22.38
2022-01-02,AePS-Val,23.17
2022-01-03,AePS-Val,29.0
2022-01-04,AePS-Val,26.89
2022-01-05,AePS-Val,24.96
2022-01-06,AePS-Val,22.1
2022-01-07,AePS-Val,23.33
2022-01-08,AePS-Val,22.51
2022-01-09,AePS-Val,15.75
2022-01-10,AePS-Val,24.23
2022-01-11,AePS-Val,23.37
2022-01-12,AePS-Val,25.23
2022-01-13,AePS-Val,25.67
2022-01-14,AePS-Val,22.89
2022-01-15,AePS-Val,23.8
2022-01-16,AePS-Val,18.5
2022-01-17,AePS-Val,24.46
2022-01-18,AePS-Val,25.34
2022-01-19,AePS-Val,23.96
2022-01-20,AePS-Val,27.34
2022-01-21,AePS-Val,28.39
2022-01-22,AePS-Val,26.65
2022-01-23,AePS-Val,18.3
2022-01-24,AePS-Val,30.63
2022-01-25,AePS-Val,30.9
2022-01-26,AePS-Val,28.67
2022-01-27,AePS-Val,27.58
2022-01-28,AePS-Val,24.58
2022-01-29,AePS-Val,24.07
2022-01-30,AePS-Val,18.71
2022-01-31,AePS-Val,23.53
2022-02-01,AePS-Val,20.25
2022-02-02,AePS-Val,18.43
2022-02-03,AePS-Val,16.69
2022-02-04,AePS-Val,14.61
2022-02-05,AePS-Val,14.47
2022-02-06,AePS-Val,11.76
2022-02-07,AePS-Val,15.47
2022-02-08,AePS-Val,15.8
2022-02-09,AePS-Val,16.24
2022-02-10,AePS-Val,16.82
2022-02-11,AePS-Val,17.03
2022-02-12,AePS-Val,19.11
2022-02-13,AePS-Val,15.02
2022-02-14,AePS-Val,19.54
2022-02-15,AePS-Val,21.62
2022-02-16,AePS-Val,20.78
2022-02-17,AePS-Val,21.14
2022-02-18,AePS-Val,18.76
2022-02-19,AePS-Val,20.22
2022-02-20,AePS-Val,17.02
2022-02-21,AePS-Val,21.5
2022-02-22,AePS-Val,22.73
2022-02-23,AePS-Val,21.28
2022-02-24,AePS-Val,23.62
2022-02-25,AePS-Val,24.28
2022-02-26,AePS-Val,24.45
2022-02-27,AePS-Val,19.42
2022-02-28,AePS-Val,25.92
2022-03-01,AePS-Val,17.77
2022-03-02,AePS-Val,19.86
2022-03-03,AePS-Val,17.98
2022-03-04,AePS-Val,17.81
2022-03-05,AePS-Val,16.39
2022-03-06,AePS-Val,12.59
2022-03-07,AePS-Val,17.1
2022-03-08,AePS-Val,18.76
2022-03-09,AePS-Val,18.83
2022-03-10,AePS-Val,18.28
2022-03-11,AePS-Val,19.57
2022-03-12,AePS-Val,20.76
2022-03-13,AePS-Val,15.92
2022-03-14,AePS-Val,19.15
2022-03-15,AePS-Val,24.55
2022-03-16,AePS-Val,26.94
2022-03-17,AePS-Val,29.24
2022-03-18,AePS-Val,10.37
2022-03-19,AePS-Val,16.9
2022-03-20,AePS-Val,19.35
2022-03-21,AePS-Val,25.68
2022-03-22,AePS-Val,24.96
2022-03-23,AePS-Val,25.3
2022-03-24,AePS-Val,22.8
2022-03-25,AePS-Val,24.41
2022-03-26,AePS-Val,27.06
2022-03-27,AePS-Val,22.67
2022-03-28,AePS-Val,30.46
2022-03-29,AePS-Val,32.01
2022-03-30,AePS-Val,30.11
2022-03-31,AePS-Val,31.48
2022-04-01,AePS-Val,18.49
2022-04-02,AePS-Val,20.92
2022-04-03,AePS-Val,16.06
2022-04-04,AePS-Val,19.0
2022-04-05,AePS-Val,17.8
2022-04-06,AePS-Val,19.15
2022-04-07,AePS-Val,19.59
2022-04-08,AePS-Val,19.32
2022-04-09,AePS-Val,20.05
2022-04-10,AePS-Val,13.73
2022-04-11,AePS-Val,19.17
2022-04-12,AePS-Val,19.47
2022-04-13,AePS-Val,20.32
2022-04-14,AePS-Val,21.73
2022-04-15,AePS-Val,21.01
2022-04-16,AePS-Val,19.31
2022-04-17,AePS-Val,15.44
2022-04-18,AePS-Val,21.84
2022-04-19,AePS-Val,22.4
2022-04-20,AePS-Val,22.11
2022-04-21,AePS-Val,20.41
2022-04-22,AePS-Val,21.06
2022-04-23,AePS-Val,22.77
2022-04-24,AePS-Val,16.69
2022-04-25,AePS-Val,23.99
2022-04-26,AePS-Val,24.39
2022-04-27,AePS-Val,24.18
2022-04-28,AePS-Val,23.29
2022-04-29,AePS-Val,23.85
2022-04-30,AePS-Val,24.83
2022-05-01,AePS-Val,15.7
2022-05-02,AePS-Val,19.58
2022-05-03,AePS-Val,15.41
2022-05-04,AePS-Val,17.12
2022-05-05,AePS-Val,17.17
2022-05-06,AePS-Val,17.43
2022-05-07,AePS-Val,18.41
2022-05-08,AePS-Val,14.05
2022-05-09,AePS-Val,16.63
2022-05-10,AePS-Val,14.06
2022-05-11,AePS-Val,18.63
2022-05-12,AePS-Val,16.3
2022-05-13,AePS-Val,16.5
2022-05-14,AePS-Val,19.65
2022-05-15,AePS-Val,14.83
2022-05-16,AePS-Val,19.35
2022-05-17,AePS-Val,20.54
2022-05-18,AePS-Val,21.72
2022-05-19,AePS-Val,21.34
2022-05-20,AePS-Val,22.48
2022-05-21,AePS-Val,21.42
2022-05-22,AePS-Val,18.08
2022-05-23,AePS-Val,22.17
2022-05-24,AePS-Val,22.84
2022-05-25,AePS-Val,23.01
2022-05-26,AePS-Val,23.01
2022-05-27,AePS-Val,23.71
2022-05-28,AePS-Val,25.52
2022-05-29,AePS-Val,20.36
2022-05-30,AePS-Val,24.59
2022-05-31,AePS-Val,25.77
2022-06-01,AePS-Val,23.54
2022-06-02,AePS-Val,21.92
2022-06-03,AePS-Val,29.96
2022-06-04,AePS-Val,35.66
2022-06-05,AePS-Val,30.02
2022-06-06,AePS-Val,35.23
2022-06-07,AePS-Val,37.79
2022-06-08,AePS-Val,38.11
2022-06-09,AePS-Val,37.19
2022-06-10,AePS-Val,39.21
2022-06-11,AePS-Val,39.59
2022-06-12,AePS-Val,31.87
2022-06-13,AePS-Val,39.45
2022-06-14,AePS-Val,37.89
2022-06-15,AePS-Val,37.43
2022-06-16,AePS-Val,35.7
2022-06-17,AePS-Val,38.17
2022-06-18,AePS-Val,33.55
2022-06-19,AePS-Val,29.2
2022-06-20,AePS-Val,36.46
2022-06-21,AePS-Val,41.2
2022-06-22,AePS-Val,38.65
2022-06-23,AePS-Val,37.98
2022-06-24,AePS-Val,39.26
2022-06-25,AePS-Val,40.17
2022-06-26,AePS-Val,34.48
2022-06-27,AePS-Val,42.8
2022-06-28,AePS-Val,40.14
2022-06-29,AePS-Val,40.17
2022-06-30,AePS-Val,42.91
2022-07-01,AePS-Val,43.18
2022-07-02,AePS-Val,43.95
2022-07-03,AePS-Val,35.86
2022-07-04,AePS-Val,43.16
2022-07-05,AePS-Val,17.1
2022-07-06,AePS-Val,16.13
2022-07-07,AePS-Val,15.96
2022-07-08,AePS-Val,15.67
2022-07-09,AePS-Val,19.82
2022-07-10,AePS-Val,12.92
2022-07-11,AePS-Val,17.29
2022-07-12,AePS-Val,18.53
2022-07-13,AePS-Val,17.66
2022-07-14,AePS-Val,18.99
2022-07-15,AePS-Val,18.76
2022-07-16,AePS-Val,18.39
2022-07-17,AePS-Val,15.48
2022-07-18,AePS-Val,18.57
2022-07-19,AePS-Val,18.4
2022-07-20,AePS-Val,17.47
2022-07-21,AePS-Val,17.48
2022-07-22,AePS-Val,16.47
2022-07-23,AePS-Val,17.46
2022-07-24,AePS-Val,15.31
2022-07-25,AePS-Val,18.89
2022-07-26,AePS-Val,20.34
2022-07-27,AePS-Val,21.98
2022-07-28,AePS-Val,22.73
2022-07-29,AePS-Val,22.67
2022-07-30,AePS-Val,22.74
2022-07-31,AePS-Val,20.67
2022-08-01,AePS-Val,11.24
2022-08-02,AePS-Val,10.88
2022-08-03,AePS-Val,13.26
2022-08-04,AePS-Val,18.36
2022-08-05,AePS-Val,19.24
2022-08-06,AePS-Val,14.82
2022-08-07,AePS-Val,14.34
2022-08-08,AePS-Val,16.8
2022-08-09,AePS-Val,18.04
2022-08-10,AePS-Val,19.72
2022-08-11,AePS-Val,17.83
2022-08-12,AePS-Val,16.24
2022-08-13,AePS-Val,17.28
2022-08-14,AePS-Val,11.86
2022-08-15,AePS-Val,11.21
2022-08-16,AePS-Val,15.06
2022-08-17,AePS-Val,15.74
2022-08-18,AePS-Val,16.52
2022-08-19,AePS-Val,17.42
2022-08-20,AePS-Val,17.63
2022-08-21,AePS-Val,16.05
2022-08-22,AePS-Val,20.12
2022-08-23,AePS-Val,20.0
2022-08-24,AePS-Val,21.85
2022-08-25,AePS-Val,21.97
2022-08-26,AePS-Val,22.92
2022-08-27,AePS-Val,22.27
2022-08-28,AePS-Val,17.67
2022-08-29,AePS-Val,23.86
2022-08-30,AePS-Val,22.93
2022-08-31,AePS-Val,22.63
2022-09-01,AePS-Val,14.52
2022-09-02,AePS-Val,14.01
2022-09-03,AePS-Val,13.22
2022-09-04,AePS-Val,9.52
2022-09-05,AePS-Val,13.71
2022-09-06,AePS-Val,13.9
2022-09-07,AePS-Val,14.28
2022-09-08,AePS-Val,14.54
2022-09-09,AePS-Val,15.31
2022-09-10,AePS-Val,15.44
2022-09-11,AePS-Val,12.53
2022-09-12,AePS-Val,16.53
2022-09-13,AePS-Val,18.04
2022-09-14,AePS-Val,17.56
2022-09-15,AePS-Val,17.32
2022-09-16,AePS-Val,15.85
2022-09-17,AePS-Val,17.18
2022-09-18,AePS-Val,15.11
2022-09-19,AePS-Val,18.32
2022-09-20,AePS-Val,21.45
2022-09-21,AePS-Val,21.48
2022-09-22,AePS-Val,21.04
2022-09-23,AePS-Val,22.78
2022-09-24,AePS-Val,25.3
2022-09-25,AePS-Val,20.98
2022-09-26,AePS-Val,24.12
2022-09-27,AePS-Val,25.39
2022-09-28,AePS-Val,24.48
2022-09-29,AePS-Val,23.54
2022-09-30,AePS-Val,30.49
2022-10-01,AePS-Val,18.33
2022-10-02,AePS-Val,15.96
2022-10-03,AePS-Val,17.74
2022-10-04,AePS-Val,14.04
2022-10-05,AePS-Val,12.43
2022-10-06,AePS-Val,13.29
2022-10-07,AePS-Val,15.28
2022-10-08,AePS-Val,16.72
2022-10-09,AePS-Val,12.61
2022-10-10,AePS-Val,15.95
2022-10-11,AePS-Val,15.35
2022-10-12,AePS-Val,14.74
2022-10-13,AePS-Val,15.82
2022-10-14,AePS-Val,16.05
2022-10-15,AePS-Val,16.49
2022-10-16,AePS-Val,14.43
2022-10-17,AePS-Val,19.72
2022-10-18,AePS-Val,20.05
2022-10-19,AePS-Val,21.27
2022-10-20,AePS-Val,24.04
2022-10-21,AePS-Val,27.45
2022-10-22,AePS-Val,41.52
2022-10-23,AePS-Val,34.14
2022-10-24,AePS-Val,28.23
2022-10-25,AePS-Val,20.73
2022-10-26,AePS-Val,25.72
2022-10-27,AePS-Val,26.25
2022-10-28,AePS-Val,27.28
2022-10-29,AePS-Val,27.54
2022-10-30,AePS-Val,21.33
2022-10-31,AePS-Val,23.95
2022-11-01,AePS-Val,13.98
2022-11-02,AePS-Val,13.21
2022-11-03,AePS-Val,12.3
2022-11-04,AePS-Val,12.16
2022-11-05,AePS-Val,11.99
2022-11-06,AePS-Val,10.3
2022-11-07,AePS-Val,12.81
2022-11-08,AePS-Val,12.91
2022-11-09,AePS-Val,14.25
2022-11-10,AePS-Val,14.98
2022-11-11,AePS-Val,15.35
2022-11-12,AePS-Val,17.96
2022-11-13,AePS-Val,13.36
2022-11-14,AePS-Val,16.29
2022-11-15,AePS-Val,16.88
2022-11-16,AePS-Val,17.45
2022-11-17,AePS-Val,17.77
2022-11-18,AePS-Val,17.63
2022-11-19,AePS-Val,18.09
2022-11-20,AePS-Val,16.37
2022-11-21,AePS-Val,18.69
2022-11-22,AePS-Val,20.15
2022-11-23,AePS-Val,20.91
2022-11-24,AePS-Val,18.59
2022-11-25,AePS-Val,21.71
2022-11-26,AePS-Val,23.61
2022-11-27,AePS-Val,20.08
2022-11-28,AePS-Val,21.97
2022-11-29,AePS-Val,21.84
2022-11-30,AePS-Val,20.61
2022-12-01,AePS-Val,12.98
2022-12-02,AePS-Val,12.39
2022-12-03,AePS-Val,11.59
2022-12-04,AePS-Val,8.71
2022-12-05,AePS-Val,10.8
2022-12-06,AePS-Val,11.23
2022-12-07,AePS-Val,11.21
2022-12-08,AePS-Val,11.17
2022-12-09,AePS-Val,11.28
2022-12-10,AePS-Val,14.2
2022-12-11,AePS-Val,10.51
2022-12-12,AePS-Val,13.35
2022-12-13,AePS-Val,13.94
2022-12-14,AePS-Val,13.87
2022-12-15,AePS-Val,14.03
2022-12-16,AePS-Val,14.06
2022-12-17,AePS-Val,14.7
2022-12-18,AePS-Val,12.67
2022-12-19,AePS-Val,13.48
2022-12-20,AePS-Val,17.16
2022-12-21,AePS-Val,16.55
2022-12-22,AePS-Val,16.96
2022-12-23,AePS-Val,18.31
2022-12-24,AePS-Val,20.1
2022-12-25,AePS-Val,16.02
2022-12-26,AePS-Val,19.64
2022-12-27,AePS-Val,20.36
2022-12-28,AePS-Val,20.57
2022-12-29,AePS-Val,20.36
2022-12-30,AePS-Val,21.58
2022-12-31,AePS-Val,23.09
2023-01-01,AePS-Val,6.8
2023-01-02,AePS-Val,12.92
2023-01-03,AePS-Val,12.37
2023-01-04,AePS-Val,12.09
2023-01-05,AePS-Val,11.67
2023-01-06,AePS-Val,11.47
2023-01-07,AePS-Val,11.33
2023-01-08,AePS-Val,9.23
2023-01-09,AePS-Val,13.65
2023-01-10,AePS-Val,13.24
2023-01-11,AePS-Val,13.15
2023-01-12,AePS-Val,14.49
2023-01-13,AePS-Val,15.66
2023-01-14,AePS-Val,15.2
2023-01-15,AePS-Val,12.6
2023-01-16,AePS-Val,14.77
2023-01-17,AePS-Val,15.67
2023-01-18,AePS-Val,16.7
2023-01-19,AePS-Val,17.28
2023-01-20,AePS-Val,17.68
2023-01-21,AePS-Val,16.73
2023-01-22,AePS-Val,14.87
2023-01-23,AePS-Val,20.03
2023-01-24,AePS-Val,20.24
2023-01-25,AePS-Val,21.78
2023-01-26,AePS-Val,19.04
2023-01-27,AePS-Val,20.36
2023-01-28,AePS-Val,22.3
2023-01-29,AePS-Val,19.69
2023-01-30,AePS-Val,23.5
2023-01-31,AePS-Val,24.57
2023-02-01,AePS-Val,15.65
2023-02-02,AePS-Val,14.88
2023-02-03,AePS-Val,13.51
2023-02-04,AePS-Val,12.14
2023-02-05,AePS-Val,11.9
2023-02-06,AePS-Val,14.6
2023-02-07,AePS-Val,13.8
2023-02-08,AePS-Val,14.94
2023-02-09,AePS-Val,15.81
2023-02-10,AePS-Val,15.87
2023-02-11,AePS-Val,18.27
2023-02-12,AePS-Val,13.0
2023-02-13,AePS-Val,17.08
2023-02-14,AePS-Val,16.59
2023-02-15,AePS-Val,15.84
2023-02-16,AePS-Val,16.11
2023-02-17,AePS-Val,18.59
2023-02-18,AePS-Val,18.05
2023-02-19,AePS-Val,15.49
2023-02-20,AePS-Val,19.07
2023-02-21,AePS-Val,20.73
2023-02-22,AePS-Val,19.67
2023-02-23,AePS-Val,20.22
2023-02-24,AePS-Val,20.2
2023-02-25,AePS-Val,23.51
2023-02-26,AePS-Val,19.29
2023-02-27,AePS-Val,21.64
2023-02-28,AePS-Val,20.06
2023-03-01,AePS-Val,12.28
2023-03-02,AePS-Val,12.58
2023-03-03,AePS-Val,12.45
2023-03-04,AePS-Val,15.59
2023-03-05,AePS-Val,11.86
2023-03-06,AePS-Val,15.01
2023-03-07,AePS-Val,13.7
2023-03-08,AePS-Val,6.32
2023-03-09,AePS-Val,13.75
2023-03-10,AePS-Val,15.79
2023-03-11,AePS-Val,16.05
2023-03-12,AePS-Val,12.8
2023-03-13,AePS-Val,17.21
2023-03-14,AePS-Val,16.09
2023-03-15,AePS-Val,16.75
2023-03-16,AePS-Val,16.3
2023-03-17,AePS-Val,15.68
2023-03-18,AePS-Val,15.4
2023-03-19,AePS-Val,13.39
2023-03-20,AePS-Val,16.33
2023-03-21,AePS-Val,18.15
2023-03-22,AePS-Val,18.99
2023-03-23,AePS-Val,19.09
2023-03-24,AePS-Val,20.09
2023-03-25,AePS-Val,22.18
2023-03-26,AePS-Val,18.01
2023-03-27,AePS-Val,21.63
2023-03-28,AePS-Val,22.74
2023-03-29,AePS-Val,23.04
2023-03-30,AePS-Val,22.0
2023-03-31,AePS-Val,23.97
2023-04-01,AePS-Val,12.07
2023-04-02,AePS-Val,15.3
2023-04-03,AePS-Val,20.53
2023-04-04,AePS-Val,17.38
2023-04-05,AePS-Val,17.85
2023-04-06,AePS-Val,16.75
2023-04-07,AePS-Val,19.7
2023-04-08,AePS-Val,18.85
2023-04-09,AePS-Val,14.69
2023-04-10,AePS-Val,15.66
2023-04-11,AePS-Val,20.37
2023-04-12,AePS-Val,20.62
2023-04-13,AePS-Val,20.93
2023-04-14,AePS-Val,21.25
2023-04-15,AePS-Val,20.96
2023-04-16,AePS-Val,17.67
2023-04-17,AePS-Val,23.23
2023-04-18,AePS-Val,23.54
2023-04-19,AePS-Val,24.1
2023-04-20,AePS-Val,25.52
2023-04-21,AePS-Val,26.82
2023-04-22,AePS-Val,22.04
2023-04-23,AePS-Val,19.42
2023-04-24,AePS-Val,25.76
2023-04-25,AePS-Val,20.6
2023-04-26,AePS-Val,25.94
2023-04-27,AePS-Val,25.47
2023-04-28,AePS-Val,24.23
2023-04-29,AePS-Val,28.02
2023-04-30,AePS-Val,23.26
2023-05-01,AePS-Val,14.25
2023-05-02,AePS-Val,14.0
2023-05-03,AePS-Val,13.87
2023-05-04,AePS-Val,14.05
2023-05-05,AePS-Val,16.15
2023-05-06,AePS-Val,15.68
2023-05-07,AePS-Val,13.59
2023-05-08,AePS-Val,11.58
2023-05-09,AePS-Val,10.66
2023-05-10,AePS-Val,17.98
2023-05-11,AePS-Val,17.76
2023-05-12,AePS-Val,19.34
2023-05-13,AePS-Val,20.95
2023-05-14,AePS-Val,17.82
2023-05-15,AePS-Val,21.39
2023-05-16,AePS-Val,21.01
2023-05-17,AePS-Val,18.33
2023-05-18,AePS-Val,24.77
2023-05-19,AePS-Val,18.93
2023-05-20,AePS-Val,19.23
2023-05-21,AePS-Val,16.84
2023-05-22,AePS-Val,18.07
2023-05-23,AePS-Val,18.88
2023-05-24,AePS-Val,18.86
2023-05-25,AePS-Val,19.78
2023-05-26,AePS-Val,20.75
2023-05-27,AePS-Val,23.52
2023-05-28,AePS-Val,19.21
2023-05-29,AePS-Val,20.82
2023-05-30,AePS-Val,20.59
2023-05-31,AePS-Val,19.84
2023-06-01,AePS-Val,10.32
2023-06-02,AePS-Val,10.77
2023-06-03,AePS-Val,11.72
2023-06-04,AePS-Val,9.14
2023-06-05,AePS-Val,12.79
2023-06-06,AePS-Val,11.92
2023-06-07,AePS-Val,13.34
2023-06-08,AePS-Val,12.06
2023-06-09,AePS-Val,15.72
2023-06-10,AePS-Val,17.78
2023-06-11,AePS-Val,14.83
2023-06-12,AePS-Val,15.21
2023-06-13,AePS-Val,16.28
2023-06-14,AePS-Val,19.81
2023-06-15,AePS-Val,19.17
2023-06-16,AePS-Val,18.84
2023-06-17,AePS-Val,18.07
2023-06-18,AePS-Val,16.36
2023-06-19,AePS-Val,19.93
2023-06-20,AePS-Val,19.51
2023-06-21,AePS-Val,20.38
2023-06-22,AePS-Val,19.97
2023-06-23,AePS-Val,19.17
2023-06-24,AePS-Val,19.81
2023-06-25,AePS-Val,17.39
2023-06-26,AePS-Val,21.12
2023-06-27,AePS-Val,22.13
2023-06-28,AePS-Val,24.03
2023-06-29,AePS-Val,18.91
2023-06-30,AePS-Val,21.15
2023-07-01,AePS-Val,11.88
2023-07-02,AePS-Val,9.01
2023-07-03,AePS-Val,11.37
2023-07-04,AePS-Val,11.88
2023-07-05,AePS-Val,12.12
2023-07-06,AePS-Val,12.11
2023-07-07,AePS-Val,12.76
2023-07-08,AePS-Val,14.12
2023-07-09,AePS-Val,11.23
2023-07-10,AePS-Val,13.92
2023-07-11,AePS-Val,14.77
2023-07-12,AePS-Val,15.69
2023-07-13,AePS-Val,15.71
2023-07-14,AePS-Val,15.59
2023-07-15,AePS-Val,15.16
2023-07-16,AePS-Val,13.84
2023-07-17,AePS-Val,15.59
2023-07-18,AePS-Val,16.5
2023-07-19,AePS-Val,16.65
2023-07-20,AePS-Val,16.54
2023-07-21,AePS-Val,16.9
2023-07-22,AePS-Val,17.95
2023-07-23,AePS-Val,14.46
2023-07-24,AePS-Val,17.54
2023-07-25,AePS-Val,17.21
2023-07-26,AePS-Val,18.02
2023-07-27,AePS-Val,19.17
2023-07-28,AePS-Val,22.2
2023-07-29,AePS-Val,20.61
2023-07-30,AePS-Val,17.25
2023-07-31,AePS-Val,20.87
2023-08-01,AePS-Val,11.36
2023-08-02,AePS-Val,11.3
2023-08-03,AePS-Val,11.13
2023-08-04,AePS-Val,11.29
2023-08-05,AePS-Val,11.23
2023-08-06,AePS-Val,9.28
2023-08-07,AePS-Val,11.53
2023-08-08,AePS-Val,9.24
2023-08-09,AePS-Val,10.89
2023-08-10,AePS-Val,12.5
2023-08-11,AePS-Val,13.16
2023-08-12,AePS-Val,14.03
2023-08-13,AePS-Val,11.04
2023-08-14,AePS-Val,14.47
2023-08-15,AePS-Val,11.94
2023-08-16,AePS-Val,13.55
2023-08-17,AePS-Val,13.73
2023-08-18,AePS-Val,14.16
2023-08-19,AePS-Val,14.4
2023-08-20,AePS-Val,13.1
2023-08-21,AePS-Val,14.53
2023-08-22,AePS-Val,14.61
2023-08-23,AePS-Val,15.62
2023-08-24,AePS-Val,16.14
2023-08-25,AePS-Val,16.84
2023-08-26,AePS-Val,17.56
2023-08-27,AePS-Val,15.33
2023-08-28,AePS-Val,20.34
2023-08-29,AePS-Val,24.57
2023-08-30,AePS-Val,22.22
2023-08-31,AePS-Val,16.46
2023-09-01,AePS-Val,9.63
2023-09-02,AePS-Val,9.78
2023-09-03,AePS-Val,8.02
2023-09-04,AePS-Val,10.16
2023-09-05,AePS-Val,10.07
2023-09-06,AePS-Val,11.16
2023-09-07,AePS-Val,12.11
2023-09-08,AePS-Val,12.02
2023-09-09,AePS-Val,13.0
2023-09-10,AePS-Val,11.4
2023-09-11,AePS-Val,14.06
2023-09-12,AePS-Val,14.14
2023-09-13,AePS-Val,15.1
2023-09-14,AePS-Val,14.83
2023-09-15,AePS-Val,15.29
2023-09-16,AePS-Val,14.54
2023-09-17,AePS-Val,13.11
2023-09-18,AePS-Val,15.04
2023-09-19,AePS-Val,16.05
2023-09-20,AePS-Val,17.8
2023-09-21,AePS-Val,18.5
2023-09-22,AePS-Val,20.0
2023-09-23,AePS-Val,23.23
